tweet_id,favorite_count,retweet_count
858860390427611136,0,6953
858843525470990336,13762,2977
858471635011153920,18932,4184
858107933456039936,13829,2485
857989990357356544,14061,2229
857746408056729600,29993,9173
857393404942143489,5161,1414
857263160327368704,17793,3908
857214891891077121,199,16
857062103051644929,0,142
857029823797047296,16635,3439
856543823941562368,14377,2500
856526610513747968,10502,1619
856288084350160898,475,14
856282028240666624,24572,5476
855862651834028034,297,21
855860136149123072,4294,841
855857698524602368,10530,1816
855851453814013952,40292,15678
855818117272018944,23590,4713
855459453768019968,26392,7177
855245323840757760,0,5162
855138241867124737,0,36
854732716440526848,20136,5254
854482394044301312,25851,5920
854365224396361728,16698,4066
854120357044912130,28337,6471
854010172552949760,14362,2749
853760880890318849,25332,5036
853639147608842240,30745,8715
853299958564483072,13731,3115
852936405516943360,0,1761
852912242202992640,7996,1563
852672615818899456,13226,1875
852553447878664193,14464,3055
852311364735569921,29490,8704
852226086759018497,17817,5969
852189679701164033,10252,1398
851591660324737024,14530,3070
851464819735769094,21638,6185
851224888060895234,18497,5064
850753642995093505,27401,7959
850380195714523136,11696,2289
850333567704068097,3098,300
850145622816686080,14614,3332
850019790995546112,18235,4294
849776966551130114,27122,6695
849668094696017920,0,4356
849412302885593088,14258,2780
849336543269576704,10234,1656
849051919805034497,37802,7479
848690551926992896,22553,3859
848324959059550208,22183,4083
848213670039564288,7306,634
848212111729840128,14584,2667
847978865427394560,0,2857
847971574464610304,0,384
847962785489326080,21150,4492
847842811428974592,4896,1172
847617282490613760,6253,372
847606175596138505,16863,3030
847251039262605312,18402,3845
847157206088847362,17815,5140
847116187444137987,19257,2825
846874817362120707,18119,3492
846514051647705089,39995,10200
846505985330044928,12653,2708
846153765933735936,28349,8012
846139713627017216,27982,8982
846042936437604353,14398,2540
845812042753855489,26276,7733
845677943972139009,22740,4299
845397057150107648,6882,1588
845306882940190720,21028,4769
845098359547420673,0,6815
844979544864018432,12344,2289
844973813909606400,13575,2804
844580511645339650,14831,2769
844223788422217728,12347,1962
843981021012017153,13723,2656
843856843873095681,19392,4099
843604394117681152,15295,2445
843235543001513987,19419,5292
842846295480000512,13828,3248
842765311967449089,6122,1157
842535590457499648,16388,3107
842163532590374912,22111,5163
842115215311396866,12673,2700
841833993020538882,0,13341
841680585030541313,23326,7020
841439858740625411,11373,3241
841320156043304961,17901,4933
841314665196081154,14329,4166
841077006473256960,20635,4800
840761248237133825,0,1590
840728873075638272,0,14384
840698636975636481,157,2
840696689258311684,11156,872
840632337062862849,8187,1590
840370681858686976,14888,4091
840268004936019968,17407,5111
839990271299457024,12171,2030
839549326359670784,24893,6953
839239871831150596,24565,5828
838952994649550848,17876,3597
838921590096166913,10116,1819
838916489579200512,0,29
838831947270979586,0,9836
838561493054533637,9912,1209
838476387338051585,20443,4286
838201503651401729,0,9036
838150277551247360,1538,296
838085839343206401,128,0
838083903487373313,16020,2803
837820167694528512,30954,7036
837482249356513284,3493,399
837471256429613056,11636,2036
837110210464448512,14630,2142
836989968035819520,11614,2075
836753516572119041,17608,4187
836677758902222849,11507,1984
836648853927522308,0,497
836397794269200385,0,24660
836380477523124226,13479,2699
836260088725786625,19338,3912
836001077879255040,17387,3832
835685285446955009,0,7287
835574547218894849,16174,3242
835536468978302976,0,1520
835309094223372289,0,18787
835297930240217089,14954,2689
835264098648616962,7029,1520
835246439529840640,1945,63
835172783151792128,23865,5208
835152434251116546,20389,2709
834931633769889797,9809,1464
834786237630337024,19600,5007
834574053763584002,12454,2272
834477809192075265,0,9586
834458053273591808,8783,1519
834209720923721728,18726,4260
834167344700198914,14379,3296
834089966724603904,9173,1933
834086379323871233,11881,2001
833863086058651648,12254,2169
833826103416520705,16617,3432
833732339549220864,0,199
833722901757046785,19082,2951
833479644947025920,13621,1850
833124694597443584,18426,4356
832998151111966721,12077,1961
832769181346996225,0,37
832757312314028032,15373,3257
832682457690300417,10839,2610
832645525019123713,2648,475
832636094638288896,14455,2503
832397543355072512,10891,1999
832369877331693569,15578,2857
832273440279240704,10314,2098
832215909146226688,0,5616
832215726631055365,0,8438
832088576586297345,56,2
832040443403784192,0,8655
832032802820481025,16205,4205
831939777352105988,21849,5553
831926988323639298,310,34
